Product_Card_Id,Unit_price,ABC_Class,Holding_Cost_Percent,Holding_Cost,Annual_Demand,EOQ
666,109.9899979,C,0.1,10.998999790000001,12.333333333333334,10.589211869930107
671,209.9900055,C,0.1,20.99900055,6.666666666666667,5.634495780661852
677,99.98999786,C,0.1,9.998999786,32.666666666666664,18.074826239618233
691,79.98999786,C,0.1,7.998999786000001,21.333333333333332,16.33095255342764
703,19.98999977,C,0.1,1.9989999770000002,141.33333333333334,84.0844923211078
705,119.9899979,C,0.1,11.998999790000001,9.666666666666666,8.975648750253987
715,129.9900055,C,0.1,12.99900055,9.666666666666666,8.623496481918814
724,100.0,C,0.1,10.0,35.0,18.708286933869708
725,108.0,C,0.1,10.8,12.0,10.540925533894598
728,65.0,C,0.1,6.5,142.66666666666666,46.849458853564094
730,80.0,C,0.1,8.0,29.0,19.03943276465977
743,169.9900055,C,0.1,16.99900055,8.666666666666666,7.140265368339868
768,299.9899902,C,0.1,29.998999020000003,5.333333333333333,4.216440557022426
771,39.99000168,C,0.1,3.9990001680000002,113.66666666666667,53.31394884617177
773,249.9900055,C,0.1,24.99900055,6.666666666666667,5.164081020790448
775,9.989999771,C,0.1,0.9989999771000001,113.66666666666667,106.66791913314937
777,79.98999786,C,0.1,7.998999786000001,25.0,17.67877472408335
778,24.98999977,C,0.1,2.4989999770000004,120.0,69.29589318641237
786,179.9900055,C,0.1,17.99900055,10.0,7.453766863074434
792,14.98999977,C,0.1,1.4989999770000002,138.0,95.94861940749806
793,14.98999977,C,0.1,1.4989999770000002,131.0,93.4834721954435
797,17.98999977,C,0.1,1.7989999770000002,137.33333333333334,87.37202507947408
804,19.98999977,C,0.1,1.9989999770000002,140.0,83.68692748246885
810,19.989999770000004,C,0.1,1.9989999770000004,109.33333333333333,73.95540163017115
818,47.99000168,C,0.1,4.799000168,128.0,51.64515702962718
821,51.99000168,C,0.1,5.199000168,123.33333333333333,48.70575938498214
822,47.99000168,C,0.1,4.799000168,121.33333333333333,50.2822475569111
823,51.99000168,C,0.1,5.199000168,144.0,52.628540988133736
825,31.989999769999997,C,0.1,3.1989999769999997,95.33333333333333,54.5902735723255
828,31.98999977,C,0.1,3.198999977,131.0,63.99241928715049
835,31.98999977,C,0.1,3.198999977,133.66666666666666,64.64046031675802
845,299.9899902,C,0.1,29.998999020000003,5.666666666666667,4.346207445185407
858,199.9900055,C,0.1,19.99900055,7.333333333333333,6.055452013123141
860,599.9899902,C,0.1,59.99899902,1.0,1.2910052177007438
885,24.98999977,C,0.1,2.4989999770000004,133.33333333333334,73.04428498826869
886,24.98999977,C,0.1,2.4989999770000004,128.66666666666666,71.75462496952203
893,24.98999977,C,0.1,2.4989999770000004,135.66666666666666,73.68065045799163
897,24.98999977,C,0.1,2.4989999770000004,135.33333333333334,73.59007801999617
905,24.98999977,C,0.1,2.4989999770000004,115.0,67.83686887414832
906,24.98999977,C,0.1,2.4989999770000004,141.0,75.11495826192436
917,21.98999977,C,0.1,2.198999977,138.33333333333334,79.31417452219098
924,15.98999977,C,0.1,1.598999977,138.33333333333334,93.01204482752107
926,15.989999769999999,C,0.1,1.598999977,139.33333333333334,93.34762755863525
957,299.980011,A,0.25,74.99500275,2003.3333333333333,51.684515080474384
977,29.98999977,C,0.1,2.9989999770000004,158.66666666666666,72.73687153210066
981,99.0,C,0.1,9.9,24.333333333333332,15.677730887830858
982,149.9900055,C,0.1,14.99900055,6.333333333333333,6.49807938366017
1004,399.980011,A,0.25,99.99500275,2518.6666666666665,50.18757353196828
1014,49.97999954,B,0.15,7.4969999309999995,8387.666666666666,334.48513974216814
1059,349.9899902,C,0.1,34.99899902000001,5.0,3.7796987790913446
1073,199.9900055,A,0.25,49.997501375,2229.3333333333335,66.7749166118658
1346,31.07999992,C,0.1,3.107999992,56.333333333333336,42.573780865601556
1347,59.08000183,C,0.1,5.908000183,27.666666666666668,21.640045460450178
1348,11.28999996,C,0.1,1.128999996,41.666666666666664,60.7501576026051
1349,452.0400085,C,0.1,45.20400085,85.0,13.71263845563433
1350,357.1000061,C,0.1,35.71000061,92.66666666666667,16.108935469815524
1351,1500.0,B,0.15,225.0,69.0,5.5377492419453835
1352,252.8800049,C,0.1,25.28800049,67.66666666666667,16.357997819855864
1353,461.480011,C,0.1,46.1480011,74.0,12.663081811816642
1354,164.3800049,C,0.1,16.43800049,73.66666666666667,21.16952019806646
1355,532.5800171,C,0.1,53.25800171,70.66666666666667,11.519002418691876
1356,293.0400085,C,0.1,29.30400085,58.0,14.068588848357342
1357,210.85000609999997,C,0.1,21.085000609999998,28.666666666666668,11.66008695827083
1358,260.6499939,C,0.1,26.064999390000004,60.0,15.172137350764201
1359,84.40000153,C,0.1,8.440000153,77.66666666666667,30.335147145754885
1360,327.75,C,0.1,32.775,51.666666666666664,12.555495928341928
1361,11.53999996,C,0.1,1.153999996,80.33333333333333,83.43436985925844
1362,39.75,C,0.1,3.975,123.66666666666667,55.77733510227171
1363,215.8200073,C,0.1,21.58200073,94.66666666666667,20.943665415780696
